CAS,R,SMILES,PBT_label
125-20-2,pr,CC(C)c1cc(c(C)cc1O)C1(OC(=O)c2ccccc12)c1cc(C(C)C)c(O)cc1C,1
126-17-0,pr,CC1CCC2(NC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
126-18-1,pr,CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
126-19-2,pr,CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
128-33-6,pr,CC(=CCCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC12C)C,1
128-63-2,pr,Brc1cc(Br)c2ccc3c(Br)cc(Br)c4ccc1c2c34,1
128-69-8,r,O=C1OC(=O)c2ccc3c4ccc5C(=O)OC(=O)c6ccc(c7ccc1c2c37)c4c56,1
128-83-6,pr,Cc1ccc(cc1)Nc1cc(Br)c(N)c2C(=O)c3ccccc3C(=O)c12,1
128-85-8,pr,CNc1ccc(Nc2ccc(C)cc2)c2C(=O)c3ccccc3C(=O)c12,1
128-87-0,pr,O=C1c2ccccc2C(=O)c2c(N)ccc(Nc3ccc(N)c4C(=O)c5ccccc5C(=O)c34)c12,1
129-73-7,pr,CN(C)c1ccc(cc1)C(c1ccccc1)c1ccc(cc1)N(C)C,1
133-49-3,pr,Clc1c(S)c(Cl)c(Cl)c(Cl)c1Cl,1
135-22-8,n,C1CCN(CC1)Cn1cc(Cc2cn(CN3CCCCC3)c3ccccc23)c2ccccc12,1
135-48-8,pr,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,1
135-91-1,pr,CCN(CC)c1ccc(cc1)Cc1ccc(cc1)N(CC)CC,1
146-54-3,pr,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(F)(F)F,1
152-43-2,pr,C#CC1(O)CCC2C3CCc4cc(ccc4C3CCC12C)OC1CCCC1,1
188-52-3,n,c1ccc2ccc3ccc4ccc5ccccc5c4c3c2c1,1
188-96-5,n,c1cc2ccc3c4ccc5cccc6ccc(c7ccc(c1)c2c37)c4c56,1
189-55-9,pr,c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34,1
189-64-0,pr,c1ccc2cc3ccc4c5ccccc5cc5ccc(c2c1)c3c45,1
189-92-4,n,c1ccc2cc3ccc4cccc5ccc(c2n1)c3c45,1
189-96-8,pr,c1ccc2ccc3c4ccc5cccc6ccc(cc3c2c1)c4c56,1
190-03-4,n,c1ccc2ccc3cc4cc5ccc6cccc7ccc(c4nc3c2c1)c5c67,1
190-07-8,n,c1ccc2ccc3nc4c(cc3c2c1)cc1ccc2cccc3ccc4c1c23,1
190-70-5,n,c1ccc2c(c1)c1ccc3ccc4ccc5ccc6ccc2c2c1c3c4c5c62,1
190-84-1,n,c1ccc2c(c1)c1ccc3cccc4c3c1c1c2ccc2cccc4c12,1
191-07-1,pr,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,1
191-20-8,n,c1ccc2cc3ccc4cc5ccccc5c5c6ccccc6c(c2c1)c3c45,1
191-24-2,pr,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,1
191-26-4,pr,c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c45,1
191-30-0,pr,c1ccc2cc3ccc4cccc5c6ccccc6c(c2c1)c3c45,1
191-37-7,pr,c1cc2Oc3cccc4ccc5ccc(c1)c2c5c34,1
191-68-4,pr,c1ccc2c(c1)c1ccccc1c1c2c2ccccc2c2ccccc12,1
191-85-5,n,c1ccc2c(c1)cc1cccc3c4cccc5cccc(c2c13)c45,1
192-47-2,n,c1ccc2c(c1)cc1c3ccccc3c3cc4ccccc4c4ccc2c1c34,1
192-51-8,n,c1ccc2c(c1)c1cccc3c1c1c2cccc1c1ccccc31,1
192-59-6,n,c1ccc2cc3c(cc2c1)c1cccc2c1c1c3cccc1c1ccccc21,1
192-65-4,pr,c1ccc2cc3c4ccccc4c4cccc5ccc(c2c1)c3c45,1
192-97-2,pr,c1ccc2c(c1)c1cccc3ccc4cccc2c4c13,1
193-09-9,n,c1ccc2cc3c(cc2c1)c1cccc2ccc4cccc3c4c12,1
193-11-3,n,c1ccc2cc3cc4c(cc3cc2c1)c1cccc2ccc3cccc4c3c12,1
193-39-5,pr,c1ccc2c(c1)c1cc3cccc4ccc5ccc2c1c5c34,1
193-43-1,n,c1ccc2=c3ccc4=c5ccccc5=c5ccc(=c2c1)c3c45,1
194-65-0,n,C1CCC2C(C1)CCC1SC3CCC4CCCCC4C3C21,1
194-69-4,n,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c12,1
195-19-7,pr,c1ccc2ccc3ccc4ccccc4c3c2c1,1
196-28-1,pr,c1ccc2c(c1)ccc1cc3ccc4cccc5ccc(c21)c3c45,1
196-42-9,n,c1ccc2cc3cc4ccc5cccc6ccc(c3cc2c1)c4c56,1
196-45-2,n,c1ccc2cc3cc4cc5ccc6cccc7ccc(c4cc3cc2c1)c5c67,1
196-78-1,n,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c12,1
196-79-2,n,c1ccc2c(c1)ccc1c2c2cccnc2c2ccccc12,1
197-61-5,pr,c1ccc2c(c1)c1cccc3c1c2c1cccc2c4ccccc4c3c12,1
197-70-6,n,c1ccc2c(c1)cc1c3c2cccc3c2cccc3cccc1c23,1
198-89-0,n,C1CCC2SC3CCC4C(SC5CCCCC45)C3C2C1,1
201-42-3,n,c1ccc2ccc3c(cc4ccc5cccc6Cc3c4c56)c2c1,1
202-98-2,n,c1ccc2cc3Cc4cccc5ccc(c2c1)c3c45,1
203-12-3,pr,c1cc2ccc3ccc4cccc5c4c3c2c5c1,1
203-20-3,n,c1ccc2c(c1)c1c3c(cccc23)cc2c1ccc1ccccc21,1
203-33-8,n,C1CCC2C(C1)CC1CCCC3C4CCCCC4C2C13,1
205-82-3,pr,c1ccc2c(c1)ccc1c3cccc4cccc(c21)c34,1
205-97-0,n,c1ccc2cc3c(cc2c1)c1cc2ccccc2c2cccc3c12,1
205-99-2,pr,c1ccc2c(c1)c1cc3ccccc3c3cccc2c13,1
207-08-9,pr,c1ccc2cc3c(cc2c1)c1cccc2cccc3c12,1
207-18-1,n,c1ccc2cc3cc4c(cc3cc2c1)c1cccc2cccc4c12,1
207-84-1,n,c1ccc2c(c1)ccc1c2[nH]c2ccc3ccccc3c12,1
207-94-3,n,c1ccc2c(c1)ccc1c2sc2ccc3ccccc3c12,1
213-46-7,pr,c1ccc2ccc3c4ccc5ccccc5c4ccc3c2c1,1
214-17-5,pr,c1ccc2cc3c(ccc4c3ccc3ccccc43)cc2c1,1
215-58-7,pr,c1ccc2cc3c(cc2c1)c1ccccc1c1ccccc31,1
215-62-3,n,c1ccc2cc3c(nc2c1)c1ccccc1c1ccccc31,1
216-00-2,n,c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1ccccc41,1
217-37-8,pr,c1ccc2ccc3c4ccc5c6ccccc6ccc5c4ccc3c2c1,1
217-54-9,n,c1ccc2cc3c(ccc4c3ccc3cc5ccccc5cc43)cc2c1,1
220-77-9,pr,c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3ccccc43)cc21,1
222-24-2,n,c1ccc2c(c1)sc1c2ccc2c1sc1ccccc21,1
222-93-5,pr,c1ccc2cc3c(ccc4cc5ccccc5cc34)cc2c1,1
224-41-9,pr,c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc21,1
