smi1_original,smi2_original,smi1_standardized,smi2_standardized,label_1,label_2
Brc1ccc(Oc2c(Br)cc(Br)c(Br)c2Br)c(Br)c1,Brc1ccc(Oc2c(Br)cc(Br)c(Br)c2Br)c(Br)c1,Brc1ccc(Oc2c(Br)cc(Br)c(Br)c2Br)c(Br)c1,Brc1ccc(Oc2c(Br)cc(Br)c(Br)c2Br)c(Br)c1,1,1
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)cc1,Brc1ccc(Oc2c(Br)cc(Br)cc2Br)cc1,Brc1ccc(Oc2c(Br)cc(Br)cc2Br)cc1,Brc1ccc(Oc2c(Br)cc(Br)cc2Br)cc1,1,1
Brc1cccc(Br)c1Oc1ccc(Br)c(Br)c1,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,1,1
Brc1cccc(Br)c1Oc1ccc(Br)c(Br)c1,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,1,1
Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,1,1
Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,1,1
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,1,1
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,1,1
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1Br,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1Br,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1Br,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1Br,1,1
Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,1,1
Brc1ccccc1Oc1c(Br)c(Br)c(Br)c(Br)c1Br,Brc1ccccc1Oc1c(Br)c(Br)c(Br)c(Br)c1Br,Brc1ccccc1Oc1c(Br)c(Br)c(Br)c(Br)c1Br,Brc1ccccc1Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1,1
C(=C/c1ccc(-c2nc3ccccc3o2)cc1)\c1ccc(-c2nc3ccccc3o2)cc1,C(=C/c1ccc(-c2nc3ccccc3o2)cc1)\c1ccc(-c2nc3ccccc3o2)cc1,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,0,0
c1ccc(C=CCN2CCN(CC2)C(c2ccccc2)c2ccccc2)cc1,c1ccc(C=CCN2CCN(CC2)C(c2ccccc2)c2ccccc2)cc1,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1,1
C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,1,1
C1=CCCC=CCCC=CCC1,C1=CCCC=CCCC=CCC1,C1=CCCC=CCCC=CCC1,C1=CCCC=CCCC=CCC1,0,0
C1=C\CCCCCC/1,C1=C\CCCCCC/1,C1=CCCCCCC1,C1=CCCCCCC1,0,0
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,0,0
C=C(Br)C(F)(F)F,C=C(Br)C(F)(F)F,C=C(Br)C(F)(F)F,C=C(Br)C(F)(F)F,0,0
C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,C=C(C)C(=O)OC1C[C@H]2CC[C@]1(C)C2(C)C,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,0,0
O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=C)C,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.C=CC(=O)O,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1
O=C(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=C)C,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.C=CC(=O)O,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1
