SMILES,PBT_label
O=C(Nc1ccc(Br)cc1)c1cc(Cl)cc(Br)c1O,1.0
CC(C)(C)c1ccc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1,1.0
Cc1cc(Cl)c(Cl)cc1Cl,1.0
CCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCC,1.0
COC(=O)c1ccc2c(c1)C(C)(C)C(=CC=C(C#N)C(=O)OCCCc1ccccc1)N2C,1.0
O=c1c2ccc3c(=O)n4c5cc(Cl)ccc5nc4c4ccc(c2c34)c2nc3ccc(Cl)cc3n12,1.0
Fc1c(F)c(-c2c(F)c(F)c(Br)c(F)c2F)c(F)c(F)c1Br,1.0
CN(C)CCCC1(c2ccccc2)OC(C)(C)c2ccc(Cl)cc21,1.0
CCC1C=CC=CCC(C)C(O)C(C)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C,1.0
c1cc2cc(c1)CCc1cccc(c1)CCc1cccc(c1)CC2,1.0
Sc1c(S)c(Cl)c(Cl)c(Cl)c1Cl,1.0
CC(C)CCCC(C)C1CCC2C3C=CC4=CC(O)CCC4(C)C3CCC12C,1.0
Cc1c(Cl)cc(C(C)C)c(O)c1Cc1c(C)c(Cl)cc(C(C)C)c1O,1.0
O=S(=O)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,1.0
c1ccc2c(c1)ccc1cc3ccc4c(c3cc12)CCCC4,1.0
CCOc1c2ccccc2c(C)c2c1ccc1ccccc12,1.0
COc1cc2c(cc1OC)Cc1cc(OC)c(OC)cc1Cc1cc(OC)c(OC)cc1Cc1cc(OC)c(OC)cc1C2,1.0
CC(C)c1ccc2c(c1)CCC1C(C)(C)CCCC21C,1.0
C#CC(OC(=O)NC1CCCCCCC1)(c1ccc(F)cc1)c1ccc(F)cc1,1.0
ClC(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,1.0
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,1.0
O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O,1.0
O=C(Oc1ccc(N(CCBr)CCBr)cc1)c1ccc(Cl)cc1,1.0
O=P(O)(O)Oc1cc(Br)cc(Br)c1-c1c(O)cc(Br)cc1Br,1.0
Cc1c(Br)c(Br)c(C)c(Br)c1Br,1.0
Cc1ccccc1N1CCN(C(=O)CC(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0
Cc1cccc(N2CCN(CCCCOC(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,1.0
Clc1ccc(C(OCCCCN2CCN(c3nccs3)CC2)c2ccccc2)cc1,1.0
Clc1ccc(C(SCCN2CCN(c3ccccc3Cl)CC2)c2ccccc2)cc1,1.0
Clc1ccc(C(CCN2CCN(Cc3ccccc3)CC2)c2ccccc2)cc1,1.0
Clc1ccc(C(CCN2CCN(c3ccccn3)CC2)c2ccccc2)cc1,1.0
Clc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n2)cc1,1.0
CCCCCCSc1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1,1.0
Clc1ccc(CSc2nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n2)cc1,1.0
CCCCCCNc1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1,1.0
O=C1c2c(Br)c(Br)c(Br)c(Br)c2C2=Nc3cccc4cccc(c34)N12,1.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCc1ccccc1,1.0
C1=Cc2cc3cccc4ccc5ccc1c2c5c43,1.0
COC(=O)CCC(C)C1CCC2C3C(=CC(=O)C12C)C1(C)CCC(OC(C)=O)CC1CC3OC(C)=O,1.0
CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccc4ccccc4c3n2)c1,1.0
NCOC1CCN(C2CCN(CCCN3c4ccccc4CCc4ccc(Cl)cc43)CC2)CC1,1.0
CC(C)(C)C(=O)C(C#N)=NNc1cc(Cl)c(Cl)cc1Cl,1.0
COC(=O)C(CC(C)C)NC(=O)C(CCCCNC(=O)C12CC3CC(CC(C3)C1)C2)NC(=O)C12CC3CC(CC(C3)C1)C2,1.0
C=CCCC=CC1CC2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,1.0
ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0
CCOCOC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,1.0
FC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,1.0
Clc1nc(Nc2ccc(Cl)c(Cl)c2)nc(Nc2ccc(Cl)c(Cl)c2)n1,1.0
Clc1ccc(Nc2nc(Nc3ccc(Cl)cc3)nc(C(Cl)(Cl)Cl)n2)cc1,1.0
Cc1ccc(-c2nc(-c3ccc(C)cc3)nc(C(Cl)(Cl)Cl)n2)cc1,1.0
ClC(Cl)C(Cl)(Cl)c1nc(C(Cl)(Cl)C(Cl)Cl)nc(C(Cl)(Cl)C(Cl)Cl)n1,1.0
CC(Br)(Br)c1nc(C(C)(Br)Br)nc(C(C)(Br)Br)n1,1.0
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
