SMILES,PBT_label
O=C1c2ccccc2C(c2ccc(O)cc2)(c2ccc(O)cc2)N1c1ccccc1,0.0
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
CC(C)O,0.0
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1.0
CCC(C)(C)c1ccccc1O,0.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si]C(Cl)Cl,0.0
C=CC(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.0
FC=CC(F)(F)F,0.0
CC(C)=CCCC(C)CCO,0.0
CC(C)(C)CC(C)(C)c1cc(O)c(C(C)(C)CC(C)(C)C)cc1O,0.0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.0
FC(F)(F)C=CC(F)(F)F,0.0
C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,0.0
Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,1.0
Clc1ccccc1Cl,0.0
Oc1c(I)cc(Cl)c2cccnc12,0.0
C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0
O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
CC(C)c1cccc(C(C)C)c1,0.0
O=C(O)COc1ccc(Cl)cc1Cl,0.0
C=C(C)C(=O)OCCO,0.0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1.0
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,0.0
CC=CC,0.0
O=C1c2ccccc2C2=Nc3cccc4cccc(c34)N12,0.0
C=CC#N,0.0
Clc1cccc(Cl)c1Cl,1.0
O=C(NCCCN(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,1.0
c1ccc(Oc2ccccc2)cc1,0.0
Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,0.0
c1ccc2c(c1)ccc1c3ccccc3ccc21,1.0
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,0.0
c1ccc2c(c1)C1=NC2=NC2=NC(=NC3=NC(=NC4=NC(=N1)c1ccccc14)c1ccccc13)c1ccccc12,0.0
C=CC(F)(F)F,0.0
CCCCO,0.0
O=C1CCC(C(=O)O)N1,0.0
CC1=CCC2C(C1)C2(C)C,0.0
CCCCCCCCCCCCCCCCCCCCCC(=O)O,0.0
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,0.0
CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C,0.0
CC(=O)C(C)C=CC1CC=C(C)C1(C)C,0.0
Cc1c2ccccc2cc2c1cc(F)c1ccccc12,1.0
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0
Cc1cc(C(c2cc(C)c(N)c(C)c2)c2c(Cl)cccc2Cl)cc(C)c1N,1.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,1.0
Cc1cccc(C(=O)O)c1,0.0
Clc1ccc2c(c1)C(=CCCN1CCCCC1)c1ccccc1S2,1.0
c1ccc2c(c1)CCCC2,0.0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
CC(F)(F)F,0.0
c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,1.0
